# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A1BG	A1BG	NM_130786.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
A1BG-AS1	A1BG-AS1	NR_015380.2		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A2MP1	A2MP1	NR_040112.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A4GNT	A4GNT	NM_016161.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AAK1	AAK1	NM_001371575.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AAK1	AAK1	NM_001371577.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AAK1	AAK1	NM_014911.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA12	ABCA12	NM_015657.3	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCA12	ABCA12	NM_173076.3	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCA12	ABCA12	NR_103740.2		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCA13	ABCA13	NM_152701.5	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ABCA6	ABCA6	NM_080284.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC2	ABCC2	NM_000392.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001105515.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001301829.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001301830.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_005845.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_004915.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_016818.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207174.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207627.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207628.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207629.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG8	ABCG8	NM_001357321.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG8	ABCG8	NM_022437.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD16A	ABHD16A.2	NM_001177515.2.7	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD16A	ABHD16A.2	NM_021160.3.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD16A	ABHD16A.2	NR_033488.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD16A	ABHD16A.2	NR_033489.2.6		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001319305.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001319306.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001319307.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001358451.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001358454.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366037.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366038.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366039.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366040.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366041.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD18	ABHD18	NM_001366042.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349329.1	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349330.1	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349331.1	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349332.1	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001365642.1	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001365643.1	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_015429.3	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABL1	ABL1	NM_007313.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001136001.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168236.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168237.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168238.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_007314.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABR	ABR	NM_001322841.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABRACL	ABRACL	NM_021243.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACACA	ACACA	NM_198834.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACACA	ACACA	NM_198836.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACACA	ACACA	NM_198837.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACACA	ACACA	NM_198838.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACACA	ACACA	NM_198839.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACACB	ACACB	NM_001093.4	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACAD10	ACAD10	NM_001136538.2	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACAD10	ACAD10	NM_025247.6	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACAP1	ACAP1	NM_014716.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACAT2	ACAT2	NM_001303253.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACAT2	ACAT2	NM_005891.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACBD7	ACBD7	NM_001039844.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACBD7-DCLRE1CP1	ACBD7-DCLRE1CP1	NR_144471.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACD	ACD	NM_001082486.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACD	ACD	NM_022914.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACOT1	ACOT1	NM_001037161.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACOT11	ACOT11	NM_015547.4	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACOT11	ACOT11	NM_147161.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOT13	ACOT13	NM_001160094.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOT13	ACOT13	NM_018473.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOT8	ACOT8	NM_005469.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACOXL	ACOXL	NM_001142807.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOXL	ACOXL	NM_001365487.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOXL	ACOXL	NM_001371254.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACP1	ACP1	NM_001040649.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACP1	ACP1	NM_004300.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACP1	ACP1	NM_007099.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACP1	ACP1	NR_024080.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACRBP	ACRBP	NM_032489.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACSM4	ACSM4	NM_001080454.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSS3	ACSS3	NM_001330242.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSS3	ACSS3	NM_001330243.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSS3	ACSS3	NM_024560.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTN1-AS1	ACTN1-AS1	NR_073422.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACTN2	ACTN2	NM_001103.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTN2	ACTN2	NM_001278343.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTN2	ACTN2	NM_001278344.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACYP2	ACYP2	NM_001320586.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACYP2	ACYP2	NM_001320587.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACYP2	ACYP2	NM_001320588.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACYP2	ACYP2	NM_001320589.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACYP2	ACYP2	NM_138448.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
